Aportes,,,,,,,,Valor mensal aportado,,,,,,Auxiliar Aportes x Carteira atual,,,,,,,,,Consolidado,,,,,,Aportes em Dolar,,,,,,,,,Desdobramentos,,,,Conversoes,,,,,Bonificação,,,
Data,Mês/ano,Titulo,Moeda,Investido,Qtde,I/Q,,Mês/ano,Aporte ,Aporte US$,Aporte consolidado,Acumulado,,Ação,Aportado,Percentual,Carteira Atual,Diferença,Quantidade,"0,00000000",Status,,Soma Reais,Soma Dolar,Meses,Média mensal,Diferença,,Reais,Cotação,Taxa cambio,IOF,Outras Taxas (Dolar),Dolar,Data,,,Ação,Fator,Data,,Ação,Fator,Data,,,Ação,Fator,Data,Quantidade
28/08/2018,8/2018,IPCA 2024,Real,"R$ 45,65","1,00000000","R$ 45,65",,8/2018,"R$ 45,65",#VALUE!,#VALUE!,"R$ 0,00",,IPCA 2024,"R$ 0,00","0,00%",#N/A,#N/A,"0,00000000",#DIV/0!,Fora da carteira,,"R$ 30.457,22",#VALUE!,90,#VALUE!,#VALUE!,,"R$ 3.000,00","R$ 5,53","R$ 30,00","R$ 11,40","1,06","$533,83",25/08/2020,"R$ 5,62",,SAPR11,1*3,27/03/2020,,CPLE6,5,26/04/2021,CPLE11,,ITSA4,5%,22/12/2021,"7,8"
26/10/2018,10/2018,IPCA 2024,Real,"R$ 96,20","1,00000000","R$ 96,20",,10/2018,"R$ 96,20",#VALUE!,#VALUE!,#VALUE!,,RB Capital,"R$ 0,00","0,00%",#N/A,#N/A,"0,00000000",#DIV/0!,Fora da carteira,,,,,,,,"R$ 52,26","R$ 5,49","R$ 0,52","R$ 0,20","0,01","$9,37",18/08/2020,"R$ 5,58",,CPLE6,1*10,11/03/2021,,BCFF11,"0,8",16/12/2024,BTHF11,,ITSA4,10%,11/12/2021,19
08/11/2018,11/2018,RB Capital,Real,"R$ 134,00",,#DIV/0!,,11/2018,"R$ 529,07",#VALUE!,#VALUE!,#VALUE!,,BOVA11,"R$ 2.337,29","7,67%","R$ 2.337,290","R$ 0,00","24,00000000","R$ 97,39",Ativo,,Ano,Aporte,Média mensal aporte,Proventos,Média mensal proventos,,"R$ 1.107,55","R$ 5,39","R$ 11,07","R$ 4,21","0,4","$202,11",14/08/2020,"R$ 5,48",,WEGE3,1*2,28/04/2021,,,,,,,GGBR4,1 para cada 20,21/03/2023,"1,75"
13/11/2018,11/2018,BOVA11,Real,"-R$ 164,00","-2,00000000","R$ 82,00",,12/2018,"R$ 395,20",#VALUE!,#VALUE!,#VALUE!,,Devant,"R$ 0,00","0,00%",#N/A,#N/A,"0,00000000",#DIV/0!,Fora da carteira,,2018,#VALUE!,#VALUE!,0,0,,"R$ 175,00","R$ 5,14","R$ 1,75","R$ 0,66","0,06","$33,50",15/06/2020,"R$ 5,22",,PRIO3,1*5,07/05/2021,,,,,,,FLRY3,1 para cada 20,16/06/2023,"7,5"
13/11/2018,11/2018,BOVA11,Real,"R$ 164,00","2,00000000","R$ 82,00",,1/2019,"R$ 1.690,00",#VALUE!,#VALUE!,#VALUE!,,MAUÁ CAPITAL AÇÕES FIC FIA,"R$ 0,00","0,00%",#N/A,#N/A,"0,00000000",#DIV/0!,Fora da carteira,,2019,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,"R$ 100,00","R$ 4,89","R$ 1,00","R$ 0,38","0,04","$20,13",10/06/2020,"R$ 4,97",,B3SA3,1*3,17/05/2021,,,,,,,ITSA4,1 para cada 20,28/11/2023,11
20/11/2018,11/2018,Devant,Real,"R$ 102,94",,#DIV/0!,,2/2019,"R$ 61,44",#VALUE!,#VALUE!,#VALUE!,,Selic 2023,"R$ 0,00","0,00%",#N/A,#N/A,"0,00000000",#DIV/0!,Fora da carteira,,2020,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,"R$ 100,00","R$ 5,77","R$ 1,00","R$ 0,38","0,03","$17,04",08/05/2020,"R$ 5,87",,BPAC11,1*4,01/07/2021,,,,,,,ITSA3,5 para cada 100,02/12/2024,11
26/11/2018,11/2018,MAUÁ CAPITAL AÇÕES FIC FIA,Real,"R$ 100,00",,#DIV/0!,,3/2019,"R$ 724,99",#VALUE!,#VALUE!,#VALUE!,,Prefixado 2021,"R$ 0,00","0,00%",#N/A,#N/A,"0,00000000",#DIV/0!,Fora da carteira,,2021,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,"R$ 500,00","R$ 5,88","R$ 5,00","R$ 1,98","0,16","$83,91",12/05/2021,"R$ 5,96",,GOOGL,1*20,18/07/2021,,,,,,,,,,
26/11/2018,11/2018,Selic 2023,Real,"R$ 98,20","1,00000000","R$ 98,20",,4/2019,"R$ 1.711,45",#VALUE!,#VALUE!,#VALUE!,,CDB Banco Pine,"R$ 0,00","0,00%",#N/A,#N/A,"0,00000000",#DIV/0!,Fora da carteira,,2022,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,"R$ 140,00","R$ 4,25",,"R$ 0,53",,"$32,80",11/12/2019,"R$ 4,27",,BCFF11,1*8,29/11/2023,,,,,,,,,,
26/11/2018,11/2018,Prefixado 2021,Real,"R$ 93,93","1,00000000","R$ 93,93",,5/2019,"R$ 1.203,86",#VALUE!,#VALUE!,#VALUE!,,Daycoval Classic,"R$ 0,00","0,00%",#N/A,#N/A,"0,00000000",#DIV/0!,Fora da carteira,,2023,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,"R$ 150,00","R$ 4,33",,"R$ 0,57",,"$34,49",03/02/2020,"R$ 4,35",,VIVT3,40/1,15/04/2025,,,,,,,,,,
26/12/2018,12/2018,MAUÁ CAPITAL AÇÕES FIC FIA,Real,"R$ 100,00",,#DIV/0!,,6/2019,"R$ 2.512,20",#VALUE!,#VALUE!,#VALUE!,,ALASKA BLACK FIC FIA II,"R$ 0,00","0,00%",#N/A,#N/A,"0,00000000",#DIV/0!,Fora da carteira,,2024,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,"R$ 200,00","R$ 4,60",,"R$ 0,76",,"$43,35",28/02/2020,"R$ 4,61",,VIVT3,1*80,15/04/2025,,,,,,,,,,
26/12/2018,12/2018,Selic 2023,Real,"R$ 98,71","1,00000000","R$ 98,71",,7/2019,"R$ 1.847,49",#VALUE!,#VALUE!,#VALUE!,,Prefixado 2025,"R$ 0,00","0,00%",#N/A,#N/A,"0,00000000",#DIV/0!,Fora da carteira,,2025,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,"R$ 100,00","R$ 5,18",,"R$ 0,38",,"$19,23",24/03/2020,"R$ 5,20",,,,,,,,,,,,,,
26/12/2018,12/2018,Prefixado 2021,Real,"R$ 147,31","1,00000000","R$ 147,31",,8/2019,"R$ 2.963,94",#VALUE!,#VALUE!,#VALUE!,,Itáu Ações Dunamis FIC,"R$ 0,00","0,00%",#N/A,#N/A,"0,00000000",#DIV/0!,Fora da carteira,,,,,,,,"R$ 139,42","R$ 5,37",,"R$ 0,53",,"$25,85",02/04/2020,"R$ 5,39",,,,,,,,,,,,,,
26/12/2018,12/2018,IPCA 2024,Real,"R$ 49,18","1,00000000","R$ 49,18",,9/2019,"R$ 1.246,08",#VALUE!,#VALUE!,#VALUE!,,KNRI11,"R$ 11.901,55","39,08%","R$ 11.901,550","R$ 0,00","90,00000000","R$ 132,24",Ativo,,prazo,12,,,,,"R$ 200,00","R$ 5,40",,"R$ 0,76",,"$36,88",03/04/2020,"R$ 5,42",,,,,,,,,,,,,,
