Histórico de proventos,,,,,,,,Proventos por ativo,,,,Proventos por mês,,,,,,Total Reais,Total Dolar*,Média mensal
Data Pagamento,Mês/ano,Corretora,Ativo,Moeda,Valor,Tipo,,Ativo,Soma,Percentual,,Mês/ano,Proventos Reais,Proventos Dolar,Consolidado,% do total,,"R$ 23.007,85",#VALUE!,#VALUE!
12/04/2019,4/2019,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,HGLG11,Real,"R$ 0,75",Rendimentos,,HGLG11,"R$ 4.238,94","18,424%",,4/2019,"R$ 1,49",#VALUE!,#VALUE!,#VALUE!,,,,
12/04/2019,4/2019,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,KNRI11,Real,"R$ 0,74",Rendimentos,,KNRI11,"R$ 3.503,54","15,228%",,5/2019,"R$ 2,24",#VALUE!,#VALUE!,#VALUE!,,Ano,Total,Média mensal
15/05/2019,5/2019,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,HGLG11,Real,"R$ 1,50",Rendimentos,,BCFF11,"R$ 4.673,59","20,313%",,6/2019,"R$ 2,99",#VALUE!,#VALUE!,#VALUE!,,2019*,#VALUE!,#VALUE!
15/05/2019,5/2019,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,KNRI11,Real,"R$ 0,74",Rendimentos,,B3SA3,"R$ 287,79","1,251%",,7/2019,"R$ 11,89",#VALUE!,#VALUE!,#VALUE!,,2020,#VALUE!,#VALUE!
14/06/2019,6/2019,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,HGLG11,Real,"R$ 2,25",Rendimentos,,WEGE3,"R$ 157,21","0,683%",,8/2019,"R$ 29,96",#VALUE!,#VALUE!,#VALUE!,,2021,#VALUE!,#VALUE!
14/06/2019,6/2019,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,KNRI11,Real,"R$ 0,74",Rendimentos,,IPCA+ Juros,"R$ 847,97","3,686%",,9/2019,"R$ 8,08",#VALUE!,#VALUE!,#VALUE!,,2022,#VALUE!,#VALUE!
12/07/2019,7/2019,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,HGLG11,Real,"R$ 2,25",Rendimentos,,GRND3,"R$ 488,96","2,125%",,10/2019,"R$ 10,71",#VALUE!,#VALUE!,#VALUE!,,2023,#VALUE!,#VALUE!
12/07/2019,7/2019,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,KNRI11,Real,"R$ 0,74",Rendimentos,,ITSA4,"R$ 295,99","1,286%",,11/2019,"R$ 11,37",#VALUE!,#VALUE!,#VALUE!,,2024,#VALUE!,#VALUE!
15/07/2019,7/2019,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,BCFF11,Real,"R$ 1,71",Rendimentos,,FLRY3,"R$ 274,94","1,195%",,12/2019,"R$ 12,46",#VALUE!,#VALUE!,#VALUE!,,2025,#VALUE!,#VALUE!
17/07/2019,7/2019,INTERMEDIUM DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,B3SA3,Real,"R$ 0,10",Dividendo,,IVV,"$81,03","0,352%",,1/2020,"R$ 19,31",#VALUE!,#VALUE!,#VALUE!,,,,
14/08/2019,8/2019,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,BCFF11,Real,"R$ 2,28",Rendimentos,,ABEV3,"R$ 220,01","0,956%",,2/2020,"R$ 74,90",#VALUE!,#VALUE!,#VALUE!,,,,
14/08/2019,8/2019,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,HGLG11,Real,"R$ 2,25",Rendimentos,,KLBN11,"R$ 0,04","0,000%",,3/2020,"R$ 28,71",#VALUE!,#VALUE!,#VALUE!,,,,
